hash,message,hashes_of_parents,is_merge_commit,list_of_modified_files
11b9adff01597361f080588196a268e1d6f64d86,Fix japanese translation link,['a2a35a8dbadc229c402b9752412d22ce5c42f33b'],False,['README.md']
a599bca47492035fa5b9fdd9d1ba23743877a44f,"Add rule to avoid misusing DOM component prop names

People expect props like `style` and `className` to mean one specific
thing. Varying this API for a subset of your app makes the code less
readable and less maintainable, and may cause bugs.",['a86d546c618f596003a7c6dbe0ee3d6ca61fe120'],False,['README.md']
53f67f8a47539315926541e4ea5db1301c19117d,"Merge pull request #1083 from airbnb/react-props

Add rule to avoid misusing DOM component prop names","['a86d546c618f596003a7c6dbe0ee3d6ca61fe120', 'a599bca47492035fa5b9fdd9d1ba23743877a44f']",True,[]
386a7b1d158f262f3c19f268d1bdb980098a9b0d,"[eslint config] [*] [deps] update `eslint-find-rules`, `safe-publish-latest`",['53f67f8a47539315926541e4ea5db1301c19117d'],False,"['package.json', 'package.json']"
f6dab799b8fa1346f1cc3fdfdbe9c9fbeef7baf6,"[eslint config] [base] [breaking] enable rules:

 - `no-restricted-properties`
 - `prefer-numeric-literals`
 - `lines-around-directive`
 - `import/extensions`
 - `import/no-absolute-path`
 - `import/no-dynamic-require`",['173cba3cc6987daf0d018633313ae277c290dcde'],False,"['best-practices.js', 'es6.js', 'imports.js', 'style.js', 'test-base.js']"
0faabe054d0026806e12386f81c508f3ea3386fe,[eslint config] [breaking] [deps] update `eslint-config-airbnb-base`,['0157e69a0df8ee8fa568d2c0ed53c087e4910c80'],False,"['package.json', 'test-base.js']"
0dae56a8e164cb6371328759bd02c5ab3fe2d185,"[eslint config] [patch] disable deprecated and redundant `react/require-extension` rule

Fixes #978.",['0faabe054d0026806e12386f81c508f3ea3386fe'],False,['react.js']
976845e9305e33cc366b104569145a05354078bd,"[eslint config] [breaking] Enable react rules:

 - `react/no-unescaped-entities`
 - `react/no-children-prop`",['0dae56a8e164cb6371328759bd02c5ab3fe2d185'],False,['react.js']
59db4aab157d98bf98c216c119e9ff848eea9505,[eslint config] [base] [patch] `new-cap`: add immutable.js exceptions,['a1c84eee150da374381193799b3a89aa8f0fa2e5'],False,['style.js']
24223ee444409087f1105be0c80f759d0d75d06f,"[eslint config] [patch] `class-methods-use-this`: exempt React `getChildContext`

Added `getChildContext` to the exceptions list for `class-methods-use-this`",['59db4aab157d98bf98c216c119e9ff848eea9505'],False,['react.js']
6ad315c090208aca03dfcd761c3b84663a5ac1e2,Add section on multi-line imports. Fixes #1051,['e2de71efb79bed5acf6d7f33fbd3b857a0a4b42c'],False,['README.md']
b72bd520b63622477ce40c9b5a52c3514920ab81,Fix rule description,['098894efee58242c066644919ac4f75ff2ac17db'],False,['README.md']
1bc2f3f36553b405408821a3bb9c1f689eb32979,"Merge pull request #1110 from karanjthakkar/multiline-imports

[guide] Add section on multiline imports.

Fixes #1051","['e2de71efb79bed5acf6d7f33fbd3b857a0a4b42c', 'b72bd520b63622477ce40c9b5a52c3514920ab81']",True,[]
148329289344c965f306f1f38931e317328cec3a,Fix naming typo,['b7492ffe60483edd5f30819ceaa0f3f4b6e84886'],False,['README.md']
781f186f908d064d7fe66bbca0a80a7d3656278e,"[eslint config] [*] [deps] update `safe-publish-latest`, `eslint-plugin-jsx-a11y`, `eslint-plugin-react`",['148329289344c965f306f1f38931e317328cec3a'],False,"['package.json', 'package.json']"
baa831b4a997ca6318ec311f8ef4576f9a9d7991,"[eslint config] [*] [docs] ensure latest version of config is installed

Fixes #1121.",['8d0fda975c1b52dd6696d8f70219a00f9703871d'],False,"['README.md', 'README.md']"
a75efdfdb0484f3e09112c2d5c381d0513f06040,"[guide] improve ++/-- example.

Fixes #1130.",['baa831b4a997ca6318ec311f8ef4576f9a9d7991'],False,['README.md']
a1ca49b34c4e83ac70a583c1f64143f520d771f6,"Add `ForOfStatement` to `no-restricted-syntax`

Fixes #1122",['9c5afe58090ba014434fe3130e7c3e551b31359a'],False,['style.js']
0bb3eb541203aee1b134bef06940557cf7a30007,"[eslint config] [deps] [breaking] update `eslint-config-airbnb-base`, `eslint-plugin-import`",['d7d50bcbd0780803f00290729123a51788eb1f14'],False,['package.json']
